Sl_no,Label_ROI,A_ID,parent_folder,Location_Num,latitude,longitude,Samplng_location,Date,year,Sex,Dorsal_pat,SVL_mm,Mass_g,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,VR,VG,VB,UVB,UVR
1,DB22314_d1,DB22314,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,c,49.22,2.6822,10.53091643,3.509008003,10598,0.637322527,2.82842712,0.158037435,4.032731392,0.288052242,0.208676613,10.53091643,10.24677983,8.606531628,4.925952098,4.437926485
2,DB22315_d1,DB22315,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,39.68,1.4543,10.28608159,3.441217403,8118,0.547830966,2,0.157066136,3.487899939,0.24913571,0.168095942,10.28608159,8.807265267,7.737519297,4.912024991,4.431167781
3,DB22316_d1,DB22316,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,56.72,3.268,10.91844823,4.597402172,13251,0.762622769,2.82842712,0.133841368,5.697960048,0.406997146,0.253716373,10.91844823,10.29801796,9.077305267,5.315034345,4.814825289
4,DB22317_d1,DB22317,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,54.62,2.9869,10.8683048,3.843411465,11941,0.724352579,2.82842712,0.141552738,5.117192289,0.365513735,0.23456,10.8683048,9.655685742,8.649582555,5.572055518,5.121671977
5,DB22318_d1,DB22318,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,56.25,3.7288,9.97935705,3.806187001,13712,0.566235207,2.82842712,0.128701991,4.399583901,0.314255993,0.161693141,9.97935705,9.261215452,8.0972795,6.135040182,5.564618647
6,DB22319_d1,DB22319,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,39.26,1.3976,11.71647544,4.215427622,6431,0.738686364,2.82842712,0.163661133,4.513511251,0.322393661,0.250893739,11.71647544,10.65741046,9.568763798,5.364021528,4.944546064
7,DB22320_d1,DB22320,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,c,54.4,1.852,10.50581089,4.073039513,20474,0.634910613,3.999999987,0.129242339,4.912558995,0.350897071,0.189978593,10.50581089,9.809152972,8.801309747,5.414604521,4.914993019
8,DB22321_d1,DB22321,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,c,44.67,2.3035,11.05555509,3.809132439,10068,0.626142913,2.82842712,0.150842267,4.150977867,0.296498419,0.211278785,11.05555509,9.293053557,8.29205233,5.076960324,4.661781114
9,DB22322_d1,DB22322,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,53.41,3.1518,9.706848033,3.515314777,12627,0.560339896,2.82842712,0.165548706,3.384743442,0.241767389,0.179022827,9.706848033,9.164606011,7.91483286,5.002699584,4.535842128
10,DB22323_d1,DB22323,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,c,48.57,2.6272,10.25178469,4.523798576,14330,0.777704115,3.999999987,0.138889942,5.599427179,0.399959084,0.262956064,10.25178469,9.111631735,7.80531881,5.802822533,5.338748948
11,DB22324_d1,DB22324,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,48.55,2.5483,10.89388483,4.118052201,10456,0.698510932,2.82842712,0.159178032,4.388237024,0.313445502,0.227732232,10.89388483,9.753409858,8.318172287,4.833572668,4.343992857
12,DB22325_d1,DB22325,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,55.97,3.3566,10.1112963,3.707562786,13618,0.578918146,2.82842712,0.138861793,4.169023991,0.297787428,0.178713664,10.1112963,9.117448342,8.202233113,6.101343967,5.539683496
13,DB22326_d1,DB22326,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,d,50.75,2.0936,11.54831514,5.362902345,9908,0.824593971,2.82842712,0.153291566,5.37925206,0.38423229,0.267046902,11.54831514,10.17970153,8.697751056,6.053609721,5.488718024
14,DB50000_d1,DB50000,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,54.63,2.6581,10.89005349,4.637025661,12296,0.77612791,2.82842712,0.130295682,5.956666406,0.425476172,0.249924976,10.89005349,9.931031898,8.808080517,4.79402037,4.803705193
15,DB50001_d1,DB50001,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,58.72,4.2861,10.60500627,4.040642262,15649,0.627461896,2.82842712,0.139297823,4.504463032,0.321747359,0.203350195,10.60500627,9.677684239,8.428093822,5.134910244,4.703687833
16,DB50002_d1,DB50002,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,d,40.73,3.6758,10.94998803,4.521872602,10234,0.775271778,2.82842712,0.138241163,5.608110945,0.400579353,0.270797908,10.94998803,9.817722412,8.659239039,5.535431326,4.982165998
17,DB50003_d1,DB50003,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,45.69,2.0892,11.65473797,5.210844724,8612,0.909419217,2.82842712,0.156033033,5.828376223,0.416312587,0.296448703,11.65473797,10.00099949,8.644465357,5.442954571,4.927678555
18,DB50004_d1,DB50004,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,54.43,3.2236,10.78145934,5.098363303,14539,0.885876569,3.999999987,0.12686255,6.982963597,0.498783114,0.283002627,10.78145934,9.606777442,8.698971641,5.133007392,4.791210222
19,DB50005_d1,DB50005,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,c,53.45,3.7474,10.36674424,3.692207894,12446,0.573666152,2.82842712,0.124751344,4.598476713,0.328462622,0.187389676,10.36674424,9.645111513,8.451803242,4.941786348,4.48703061
20,DB50006_d1,DB50006,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,M,a,50.03,3.6892,9.730761807,3.421778471,10166,0.55212688,2.82842712,0.14489561,3.810514904,0.272179636,0.168347566,9.730761807,8.897950238,7.91091605,4.847857088,4.560720045
21,DB50013_d1,DB50013,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,47.14,1.37,11.79528017,2.734595902,7645,0.462984539,2.82842712,0.160601698,2.882812226,0.205915159,0.156887473,11.79528017,10.77808997,9.276199287,5.109417803,4.764683745
22,DB50014_d1,DB50014,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,a,54.51,2.71,9.197272012,3.708909031,12304,0.609945625,2.82842712,0.143119079,4.261805124,0.304414652,0.212628778,9.197272012,8.526900677,7.964983685,5.118255524,4.803111087
23,DB50015_d1,DB50015,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,d,44.22,1.5,11.98174292,4.76561891,8247,0.937713426,3.999999987,0.13836096,6.777297757,0.484092697,0.336014389,11.98174292,10.97702799,9.896331201,5.511076675,5.178290615
24,DB50016_d1,DB50016,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,46.09,1.44,10.56763136,3.949145815,7860,0.725706939,2.82842712,0.136630911,5.311440391,0.379388599,0.239242237,10.56763136,9.595337696,8.607433806,5.719478505,5.254824434
25,DB50017_d1,DB50017,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,52.02,2.06,9.858837657,3.156102068,11392,0.555936044,2.82842712,0.126554605,4.39285511,0.313775365,0.187059709,9.858837657,9.028241397,8.074812109,5.200269546,4.829153007
26,DB50018_d1,DB50018,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,45.49,1.61,9.700307441,4.518381462,7795,0.76142724,2.82842712,0.138565448,5.495072897,0.392505207,0.278112621,9.700307441,9.089951278,8.620026735,5.185693015,4.877417371
27,DB50019_d1,DB50019,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,45.58,1.72,9.164047274,4.349051526,9329,0.644692348,2.82842712,0.139576233,4.618926417,0.329923316,0.239634835,9.164047274,9.092448358,8.639294084,5.378355671,5.037234502
28,DB50020_d1,DB50020,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,44.6,1.36,10.91341677,4.382503258,7442,0.742435447,2.82842712,0.152337316,4.873628265,0.348116305,0.24556617,10.91341677,9.847078838,8.868703482,5.46435242,5.093067045
29,DB50021_d1,DB50021,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,49.41,1.97,10.52191049,4.060010327,9665,0.696246121,2.82842712,0.146970913,4.737305563,0.338378969,0.234573072,10.52191049,10.11420886,9.02324212,5.318859255,4.943652714
